Saint-Just,01250,46.1333,5.4
Simandre-sur-Suran,01250,46.216667,5.416667
Tossiat,01250,46.133333,5.316667
Villereversure,01250,46.183333,5.383333
Belmont-Luthézieu,01260,45.95,5.65
Brénaz,01260,45.95,5.716667
Champagne-en-Valromey,01260,45.9,5.683333
Vieu,01260,45.9,5.683333
Hotonnes,01260,46,5.683333
Le Grand-Abergement,01260,46.033333,5.666667
Le Petit-Abergement,01260,46.033333,5.65
Lochieu,01260,45.933333,5.716667
Lompnieu,01260,45.966667,5.65
Ruffieu,01260,46,5.666667
Songieu,01260,45.966667,5.7
Sutrieu,01260,45.95,5.65
Virieu-le-Petit,01260,45.9,5.716667
Beaupont,01270,46.4,5.266667
Coligny,01270,46.383333,5.35
Domsure,01270,46.416667,5.3
Pirajoux,01270,46.383333,5.3
Salavre,01270,46.366667,5.35
Verjon,01270,46.35,5.35
Villemotier,01270,46.35,5.316667
Prévessin-Moëns,01280,46.25,6.083333
Bey,01290,46.216667,4.85
Biziat,01290,46.216667,4.933333
Cormoranche-sur-Saône,01290,46.233333,4.833333
Cruzilles-lès-Mépillat,01290,46.216667,4.883333
Grièges,01290,46.25,4.85
Laiz,01290,46.25,4.883333
Pont-de-Veyle,01290,46.266667,4.883333
Saint-André-d'Huiriat,01290,46.216667,4.916667
Saint-Jean-sur-Veyle,01290,46.25,4.916667
Brens,01300,45.75,5.76667
Cuzieu,01300,45.75,5.76667
Peyrieu,01300,45.75,5.76667
Ambléon,01300,45.75,5.6
Andert-et-Condon,01300,45.8,5.65
Arbignieu,01300,45.733333,5.65
Belley,01300,45.766667,5.683333
Brégnier-Cordon,01300,45.65,5.616667
Chazey-Bons,01300,45.8,5.683333
Colomieu,01300,45.733333,5.616667
Contrevoz,01300,45.8,5.633333
Conzieu,01300,45.733333,5.6
Izieu,01300,45.65,5.633333
Magnieu,01300,45.783333,5.716667
Marignieu,01300,45.8,5.716667
Massignieu-de-Rives,01300,45.75,5.766667
Murs-et-Gélignieux,01300,45.633333,5.666667
Nattages,01300,45.733333,5.766667
Parves,01300,45.75,5.75
Prémeyzel,01300,45.683333,5.65
Saint-Benoît,01300,45.7,5.583333
Saint-Bois,01300,45.7,5.633333
Saint-Champ,01300,45.783333,5.733333
Saint-Germain-les-Paroisses,01300,45.766667,5.616667
Virignin,01300,45.716667,5.716667
Buellas,01310,46.2,5.133333
Confrançon,01310,46.266667,5.066667
Curtafond,01310,46.266667,5.083333
Montcet,01310,46.2,5.116667
Montracol,01310,46.183333,5.116667
Polliat,01310,46.25,5.133333
Saint-Martin-le-Châtel,01310,46.283333,5.116667
Saint-Rémy,01310,46.183333,5.166667
